hotelId,hotelName,city,phone,agent,dogFriendly,weightSizeLimit,maxDogs,dogFee,areasPermitted,areasNotPermitted,allowedInRoomWithoutOwners,dogAmenetiesProvided,walkTypesNearHotel,grassAreaNearHotel,enclosedGarden,dogsAllowedAtBreakfast
,Moxy Belfast,Belfast ,,,N- Not open Yet ,,,,,,,,,,,
,Delta Hotels by Marriott Breadsall Priory Country Club,,,,N,,,,,,,,,,,
MCCWLDTN,Cardiff Marriott,,,,N,,,,,,,,,,,
,COURTYARD BY MARRIOTT OXFORD SOUTH,,,,N,,,,,,,,,,,
,Delta Hotels Marriott Edinburgh,Edinburgh,,,Y,N/a,2,£10 per pet + £50 secruity deposit,almost everywhere except the leisure club and the cast iron grill,the leisure club and the cast iron grill,Yes,No,,Y,N/A, Potentially in Brew Bar but not confirmed
,Westin London City,London,,,Y,N/A,1,£50 refundable deposit,"Lobby, Reception & in the room","Restaurants, Bar, Spa & Meeting rooms",Yes,Bed,Thames River walk ,Y,,No
,Delta Hotel Marriott Huntingdon,,,,N,,,,,,,,,,,
MCEDIEBM,W Edinburgh,Edinburgh,,,N,,,,,,,,,,,
,Courtyard Exeter Sandy Park,Exeter,,,N,,,,,,,,,,,
,EDINBURGH MARRIOTT HOTEL HOLYROOD,Edinburgh,,,N,,,,,,,,,,,
,Delta Hotels by Marriott Durham Royal County,Durham,0191 386 6821,,Y,No ,1,£30,Lobby area and Terrace,Main bar and restaurant,Y,No,Riverside,Closest is the river side,No,No
,Delta Hotels by Marriott Manchester Airport,,,,N,,,,,,,,,,,
,Moxy Plymouh,Plymouth,01752 422237,,Y,N/A,2,£15 per night,All areas,N/A,Yes,No,,?,,
,Moxy Southhampon,Southhampton,,,Y,35kgs,1,£15 per night,All areas,N/a,Yes,No- but dog menu available,,Y,N/A,Yes
,Moxy York,York,,,Y,N/A,2,£15 per stay,All areas,N/A,Yes- if well behaved and preapproved,No but working on dog packages to be annoucefd shortly,Riverside/city centre,Y,N/A,Yes
,REACH AT PICCADILLY,Manchester,1613830033,,Y,2 Medium size or 1large,2,£30 per dog per stay,All areas but the leisure facilities,Gym,Yes,Dog bowls and beds pre request required ,City Centre,N,N/a,Yes
,Moxy Bristol,Bristol,0117 244 0228,,Y,15kg,1,£15 per night,All areas,N/A,No,No,,N,N/A,Dining Area
PIABZBDC,Moxy Aberdeen Airport*,,01224 545095,,Y,,,,,,,,,,,
,AC Inverness,,44 1463-211955,,Y,35kg,1,£15 per night,Certain areas of the lounge/ restuarant and all rooms,All other areas,Yes,Add on package available,,Y,,In certain area of lounge and restuarant. 
,Moxy Edinburgh Fountainbridge,,,,Y,N/A,N/A,£15 per stay,All areas,N/A,Yes,No,,Y,N/A,Yes
HLEDI101,Moxy Edinburgh Airport,Edinburgh,0131 608 1172,,Y,N/a,1,£15 per night ,All areas,N/A,Yes,No,,Y,,Yes 
,Moxy Glasgow Merchant City,Glasdow,0141 846 0256,,Y,40kg max,1,£15 per stay,All areas,N/A,No,No,,Y,,Yes
,Moxy Glasgow SEC,Glasgow,0141 406 0727,,Y,N/A,1,£15 per night,All areas,Food area at breakfast,No,No,,Y,,"Yes (at table only, not in food area)"
,Courtyard SEC,Glasgow,0141 473 8748,,Y,N/a,2,£15 per stay,Lobby area,Restuarnt,Yes,?,,Y,N/A,Yes near the restaurant not in it
,Moxy Chester,Chester,,,Y,25kg (total weight) ,2,£15 per stay,Everywhere,No where,Yes,offer dog friendly packages which include treats and toy,Canal Walks,Y,N/A,Y
OIMANPIC,Manchester Marriott Hotel Picadilly,,,,N,,,,,,,,,,,
,Residence Inn Manchester Piccadilly,,0161 8417800,,Y,30kg,2,£20 per night,Ground floor/ first floor room and courtyard,Dining areas and breakfast set up,Yes,No,Canal Walks,Y,N/A,In the lobby and reception area only
,W London,London,(0) 20 7758 1000,,Y,20kg,£2,£50 per stay,"The ground-floor lobby, First-floor welcome desk Area, Guestroom corridors, and respective guestrooms",pets are not allowed in food and beverage areas,no,Welcome Amenity Box - Pet Towel - Personalized engraved W pet tag - Rope toy - Clean up bags - Training pads - Dog Treats - Along with a welcome card In the room - Pet Bed - Feeding Matt - Food and Water bowl,St James Park- 15 mins away,St James Park- 15 mins away,N/A,Breakfast in the room
,Delta Hotels by Marriott St. Pierre Country Club ,Chepstow,01291 625 261 ,,Y,N/A,£2,£50 per stay,In rooms only- not inside the building In the St Pierre Village are dog friendly rooms only,All areas,No,No,,Y,N/A,Room service only
,COURTYARD BY MARRIOTT KEELE STAFFORDSHIRE,Keele,(0) 1782 376820,,Y,N/A,£1,£20 per stay,All public areas apart from resturant,Scholars Restuarant,Yes for short periods,Bowsl but no beds,,Y,N/A,They will set up an area if pre requested
ALLPL956,Aloft Liverpool,Liverpool,0151 294 4055,,Y,18kg,1,N/A,Bar area and lobby,NYL Resturant,No,Yes,,N,N/A,In WXYZ Bar
,Delta/QHotels Cheltenham,Cheltenham,,,Y,Small- Medium,2,£25 per night,Lounge & terrace,Main Restuarant,?,No,Nature Trails,Y,N/A,Lounge Area
,Delta By Marriott Notingham Belfry,Nottingham,,,Y,Small- Medium,2,£25 per night,"Reception, lounge and business lounge",Main Restuarant,?,No,Indutrail Estate,Y,N/A,Lounge Area
,Residence Inn Aberdeen,Aberdeen,,,Y,N/a,2,£25,All areas apart from at food serving times,Resturants at food serving times,Yes,Water bowls,,Y,N/A,No- can take food to the room
,Moxy Birmingham NEC,Birmingham,,,,,,,,,,,,,,
,Inhabit Southwick ,London,,,Y,12kg,1,£15 per night,Lounge,Most areas,No,Yes,,,,Yes 
,Inhabit Queens Gardens,London,,,Y,11kg,1,£15 per stay,All Aras,N/A,Yes,Dog Bed,,Yes,,Yes 
SILHR293,Sheraton Heathrow,London,(0) 208 759 2424,,Y,N/A,2,£25 per stay,Rooms and Lobby,F&B areas,No,No,,Yes,N/a,Not stated but in lobby ideally
MCLHRHRM,London Heathrow Moxy,London,02033 188  100,,Y,N/a,2,£15 per dog,All public areas,Breakfast serving area,Y,Yes,,Yes,N/a,Yes 
,Courtyard Marriott Inverness,Inverness,01463 423111,,,,,,,,,,,,,
MCGLADTN,AC Hotel Glasgow,Glasgow,,,N,,,,,,,,,,,
,Moxy Stratford,London,,,,,,,,,,,,,,
,Regent Park Marriott,London,,,,,,,,,,,,,,
,Great Nothern Hotel,London,,,Y,20kg,2,£50 per stay,"Pets are permitted in the hotel bedrooms, the hotel’s Lounge area located on the 1st floor as well as in the GNH Bar located on the ground floor.",RAILS Restaurant and Little Bar.,No,Yes bowls and mat,REGENT'S CANAL RAMBLE (3.3 MILES) URBAN EXPLORER (1.3 MILES): WATERSIDE WANDER (1.8 MILES):,Y Granary Square,N/A,In room or bar area
RCLONRIR,Residence inn Tower Bridge,London,,,,,,,,,,,,,,
RCLONRIR,Residence Inn London Bridge,London,,,,,,,,,,,,,,
,Courtyard Luton Airport,Luton,01582 218555,,Y,N/A,2,£20 per stay per pet,Lobby,Restuarant,No,No,,Y,N/A,In the lobby
,Moxy Manchester,Manchester ,,,,,,,,,,,,,,
HIKYN1D5,Delta Milton Keynes,Milton Keynes,01908 69 44 33,,Y,N/A,2,£15 per dog,"Lounge Area, Garden, rooms",Restuarnat,No,No,,Y,N/A,In the lounge
,Delta Birmingham,Birmingham,,,,,,,,,,,,,,
,Four Points By Sheraton Edinburgh,Edinburgh,0) 7519 363 192,,Y,N/A,2,£25 per pet per night,"3x guest rooms, lobby and lounge",Restuarant,No,Doggy welcome pack and bowls,City Centre,Y,N/A,Lounge area
,Grovesnor House JW Marriott,London,,,,,,,,,,,,,,
,DoubleTree by Hilton London Elstree,Rochdale,01706 801 800,,Y,N/A,2,£25 per stay,"All areas apart from  gym, bar and resturant ","gym, bar and resturant ",Yes,"Yes first come, first served basis",,Y,N/A,"Dogs are not allowed in the main breakfast area, but we do have a designated area downstairs where you can enjoy breakfast with your pets."
PINQTAVL,Hilton East Midland Airport,East Midlands,,,Y,N/A,2,£25 per stay,All areas but food and bervage areas,Food and bervage areas & Health club,No,Y ,Elvvaston Castle and Country Park and Bradgate Park ,Y ,N/a,In the lobby or room service
,Hampton by Hilton Corby/Kettering,Corby,01536 211001,,Y,68kg,2,£20 per stay,Guest rooms and lobby area,Breakfast/dining area,No,Dog bowls and treats,,Y,N/A,Lobby area
,Foxhill Manor,Farcombe Broadway,01386 854200,,Y,Medium Sized (Lab) ,2,£30 per dog,Bar and lounges,Spa and restuarant ,Y,Beds and bowls,Country Estate Walks,Y,N/A,Yes in a serpeate area
,Dormy House,Broadway,01386 852711,,Y,Medium Sized (Lab) ,2,£30 per dog,Bar and lounges,Spa and restuarant ,Y,Beds and bowls,Country Estate Walks,Y,N/A,Yes in a serpeate area
,Hilton Puckrup Hall and Golf Club,Twekesbury,44 1684 296200,,Y,N/a,2,£30 per stay,Bar and lounges,Restaurant areas,No,Blankets for £20,Situated on a golf course,Y,N/A,Bar/ lobby area
,Hampton by Hilton London Luton Airport,London,(0) 1582 798477,,Y,Combined weight of 34kg,2,£40 per stay,All other areas,Food and bevarage areas,Yes,No,,N,N/a,In the lobby area
,Bike and Boot Scarborough,Scarborough,,,Y,No,2,£15 per pet per night ,All Areas,N/A,No,"Toy, treat/ bowl ",Beaches ,Y,N/A,Yes
,Bike and Boot Peak District,Peak District,,,Y,No,2,£15 per pet per night ,All Areas,N/A,No,"Toy, treat/ bowl ",,Y,N/A,Yes 
,The Bridge Hotel and Spa,Whetherby,,,Y,No,2,£30 per pet,All other areas,Restuarant,No,"Towels, bowls and treats on arrival and throughout the stay at the entrance",Country Walks,Y,Y,Yes in bar or lobby
,Hilton Garden Inn Doncaster Racecourse,Doncaster,,,Y,35kgs,1 large or 2 small,£10 for the first night £5 for each night after that,reception area and bar area on tiled area only not on the carpeted area,Restuarant,No,No,Town Fields Park,Y,N/A,Yes in the tiled area
,Hotel Rothaymanor,Ambleside The Lakes,015394 33605,,Y,No wieght limit but two large dogs would make the room tight on space,2,£30 per dog per stay,"Lounge & bar, dog friendly restaurant and dog rooms","main dining restaurant, and rooms that are not dog friendly.",Yes,Yes at request including bed and dressing gown,Lake District,Y,Yes,Yes in the dog friendly area of the dining room
,Doubletree By Hilton Edinburgh Airport,Edinburgh,0131 519 4400,,Y,35kgs,2,£25 per stay,All other areas,"health club, pool areas and restaurant.",Not ideally but with permission yes,No,,Y,N/A,No 
,Greywalls Hotel,Windemere the Lakes,01620 842144,,Y,N/A,2,£20 per dog per stay,Not allowed in public areas,Bedroom only,Yes in a crate,Bed and Bowl,Estate/ Lakes Walks,Y,Y Estate grounds,No 
,DoubleTree by Hilton Cheltenham-Cotswolds,Cheltenham,01242 229292,,Y,N/A,2,£15 per dog per night,Lilley Brook Bar,Lakeside Restuarnt,No,No,Cotswolds,Y,N/A,In the bar area
,Hampton By Hilton Humberside,Hull,01652 413112,,Y,34kg,2,£15 per dog,All areas expect Touchdown Restuarnant ,Touchdown Restuarant ,Yes,No,,Y,N/A,Y- They also provide sausages for them 
,DoubleTree by Hilton Coventry,Coventry,02476 603000,,Y,N/A,2,£20 per pet ,Loung and conservatory area,Restuarant and bar area,No- or for very short periods of time only,No,,Y,N/a,Lounge or conservatory
,Hampton by Hilton Blackpool,Blackpool,(0) 1253922540,,Y,34kg total weight,2,£25 per night per dog,Resturant,Breakfast serving area,No,Bowls and beds,Beaches,Y,N/A,Yes 
,Hampton by Hilton Belfast City Centre.,,,,N,,,,,,,,,,,
HLLBA834,DoubleTree by Hilton Sheffield Park,Sheffield,(0)114 2829988,,Y,1 large or 2 small,2,£20 per stay,Lobby/ Recpetion Area,"Restuarant, Lounge/Spa",No,No,,Y,Y,Yes in lobby
,DOUBLETREE BY HILTON MANCHESTER AIRPORT,Manchestser ,(0) 161 435 3046,,Y,N/A,2,£30 per stay,Bar/Lobby,Restaurant,No,No,,Y,N/a,Bar/Lobby
,Hilton Garden Inn Stoke on Trent,Stoke on Trent,01782 486960,,Y,N/A,2,£20 per stay,Lobby/ Recpetion Area,Restaurant,Yes,Yes,,Y,,Lobby or room 
HXLPL405,Hampton by Hilton Liverpool City Centre,Liverpool,0151 702 6250,,Y,50kg,1,£30 per stay,Recpetion area/ Rooms,Breakfast  Area,No,No,City Centre,N,N/A,Lounge area
PILPLBBW,HILTON LIVERPOOL CITY CENTRE,Liverpool,44 151 708 4200,,Y,N/a,2,£30 per stay,Other areas,Restuarant and executive lounge,No,Yes at an additional £30 ,City Centre,N,N/A,No
,DoubleTree by Hilton Swindon,Swindon,(0)1793 881 777,,Y,40 kg per dog,2,£20 per stay,Lobby and Bedroom,Restuarant,Yes,Bed and bowls,,Y,N/A,No
,The Randolph Hotel by Graduate Hotel,Oxford,44 344 879 9132,,Y,Medium size,2,£40 per dog per night,Morse bar and Drawing room,Restuarant,No,Beds and bowls,Local Park,Y,N/A,Room service only 
,Hilton London Metropole,London,(0) 207 402 4141,,Y,34kg,,£35 per stay,Bow Bar and Tyburn Market,"Tyburn Kitchen & Tyburn Bar, Executive Lounge, Drawing Room",No,No,,N,N/A,No
,Dukes London,London,,,Temp closed for refurbs check back 2025 autumn,,,,,,,,,,,
,Homewood Hotel and Spa,Bath,(0)1225 580439,,Y,N/A,2,£35 per dog per night,All areas except spa and main restaurant,Spa and main restuarnt,Yes,Woof Welcome box including a treat and toy plus dog bed and bowl,Hotel grounds + Dog agility course,Y,N/A,Conservatory offers all meals with dog and owners. 
,The Retreat at Elcot Park Hotel,Newbery,01635 800520,,Y,No extra large dogs,2,£30 per dog per night,Everywhere but the spa,Spa,Yes,"Dog bowl, beds and toy",Ample hotel grounds,Y,N/A,Yes section for dogs and owners
,Hilton London Watford,London,(0)1923 235881,,Y,N/A,2,£35 per dog per night,Bedrooms and lobby,"Restaurant, Bar, Gym",Yes,No,Local Field,Y,N/A,No
,Tylney Hall Hotel and Gardens,Hook Hampshire,01256 764881,,Y,N/A but would recommend bigger room catergory for 2 big dogs,2,£25 per dog per night,"Garden, courtyard, terrace  Classic rooms within the Courtyard or our Superior Classic rooms and above in the Gardens",Mansion house-Restaurant and Lounge/ pools,Yes,Beds and treats,,Y,N/A,Room service only 
,HILTON CAMBRIDGE CITY CENTRE,Cambridge,(0)1223 464 491,,Y,30kg,2,£40 per stay,All other areas such as piano bar,"Restaurant, Executive lounge, Fitness Centre and Conference Areas",Yes if reception are informed ,Pet bed and bowl,Parker's Piece,Y- 5 mins away,N/A,Yes in Piano Bar
NDLONBRH,Nomad London,London,(0)1223 464 491,,Y,No set limit depends on room size and type of dog-contact the hotel ,No set limit depends on room size and type of dog-contact the hotel ,£50 per dog,"Your room, The Lobby and The Library",The NoMad Restaurant and The Side Hustle Bar,Yes,Bed bowls and treats,Dury Lane Gardens,Y,N/A,Library 
,Hampton by Hilton Bristol Airport,Bristol,44 1275 405 966,,Y,Medium Sized,2,£20 per room,All other areas,Breakfast room and main area,Yes,Bed bowls and treats,,Y,N/A,No
,Hilton Garden Inn Abingdon,Oxfordshire,44 1235 425570,,Y,Small/Medium sized,2,£20 per pet per night,"Groundfloor bedrooms, the lobby and pre resturant area",The main resaurant,No,Bed bowls ,,Y,N/A,Yes in pre resturant area
,FLEMINGS MAYFAIR HOTEL,London,(0)20 7499 0000,,Y,Case by Case basis please contact the hotel,Case by Case basis please contact the hotel,£50 per night,Dogs are permitted in your guest room and while transitioning directly to outdoor areas.,"dogs are not allowed in dining areas, function rooms, or any recreational areas serving food.",No,Bed and bowls,,Y,,Pre arrangements can be made for this
,DoubleTree by Hilton London Elstree,London,0208 214 9988,,Y,45kg,2,£35 per dog,Everywhere else,"Restaurant, toilets and meeting rooms",No,"Bed,bowl and dog treat",,N,N/A,No
,DoubleTree by Hilton Harrogate Majestic Hotel & Spa,Harrogate,01423 700 300,,Y,45kg,2,£30 per dog,"Grederick's Lounge, terrace, garden and lobby",All other areas including the restuarant and spa,No,No,Town Centre,Y- Hotel grounds,N/A,In Fredrick's Bar
,Grove of Narberth,Narberth,01834 860915,,Y,2 large or 3 small,2 large or 3 small- happy to discuss based on room types,£30 per night,Artisan Room called the snug & dog friendly lounge area,"Main hotel rooms lounge and bar, and Fernery ",Yes,"Treats, bed, bowl and toys and dog menu available on request",Hotel Grounds,Y- Hotel grounds,"Each of our dog rooms are situated outside the main house, accept our House Signature Bramble, where the main entrance is accessed through the main hotel. Each dog room has a separate private garden, however these are not completely enclosed",Artisan Rooms
,"ELMBANK YORK, TAPESTRY COLLECTION BY HILTON",York,01904 610653,,Y,25kg,2,£30 per dog per night,Public Areas other than the resturant ilncuidng bar and lounge,Restuarant,Ideally No but speak to reception if required,Bowls,City Centre,Y,N/A,Bar or lounge area
,The Gantry London Curio Collection by Hilton,London,,,Y,Combined weight of 34kg,2,£25 for 7 nights,Dogs are allowed in the main restaurant and breakfast in quiet periods,N/A,Yes- only if owners are on the premisis,Bed and bowls,,Y,N/A,In restaurant at quieters times 
,HILTON LONDON WEMBLEY,London,(0)208 150 8090,,Y,35kg each,2,,,"Health club, pool areas dining and bereravge areas ",No.,Bowl bed and blanket,,Y,,
,Hilton Bournmouth,Bournmouthh,(0) 1202 200 521,,Y,34kg combined,2,£50 per stay,All other areas,Restuarant and all food areas,No,Dog bed and treats if pre notified,Beach and Bournemouth Gardens,Y,N/A,Room service only 
,The Caledonian ,Edinburgh,,,Y,35kg each,2,£50 per pet per stay,,"Restuarant, Health Club, Pool areas, louges and bervage areas",No,,,Y,,
CNLON944,Conrad London St James,London,,,Y,15kg,2,£50 per stay,"Lobby, Cocktail bar and Blue boar Pub","Executive Lounge, Pem Restuarant",No,"Bowl, sleeping mat and toy",St Jame's Park,Y,N/A,Orchard Room
,DoubleTree by Hilton London ExCeL,London,,,Y,35kg ,1,£35 per stay,Rooms only,"Restuarant, Health Club, Pool areas, louges and bervage areas",No,,,Y,,Room service only 
,Hampton By Hilton Torquay,Torquay,,,Y,N/A,2,£50 covers for up to 5 nights,All areas apart from at breakfast time,Breakfast buffet and on hotel beds,No,Blanket and bowls,,No,N/A,Yes in designated area
,Ashdown Park hotel,Sussex,,,Y,N/A,2,£15 per night,"ground floor Fairway Junior Suites room type only, Front Hall and West Lounge",All other areas inlcuding the main hotel,Yes,Bed and bowl,Ashdown Forest,Y,N/A,No
,DoubleTree by Hilton Brighton Metropole,Brighton,,,Y,35kg,2,£45 per stay,Room & Bar Terrace,Restaurant and leisure facilitities,Yes ,No,,Y,N/A,Bar Terrace only 
,DOUBLETREE BY HILTON LONDON - KINGSTON UPON THAMES,London,,,Y,20kg (However website states 34kg size large so worth checking ,2,£10 per stay,Lobby & Room,Bar & Restuarant,Yes,Bowl,Canbury Gardens Park,Canbury Gardens Park 2 mins away,N/A,Lobby Area
HXEXT978,Hampton By Hilton Exeter Airport,,,,Not open Yet ,,,,,,,,,,,
,The Franklin ,London,,,Y,Medium sized,1,£40 per night,,Dining and public areas,No,,,,,
,The Isle of Eriska Hotel,"Benderloch, Oban ",,,Y,N/A,2,£20 per night per dog,Guest Rooms/ or Self catering accomodation,Public Areas,Yes in a crate,Towels,Private Island,Y,No,No
,Hilton Gatwick,London,,,Y,Medium sized,2,£30 per stay,Room and Lobby,Restaurants and bar,Yes,No,,Y,N/A,Yes
,Hilton Aberdeen TECA,Aberdeen,,,Y,N/A,2,£35 per stay,Bar Area,"Restaurants, spa, executive lounge and conference areas",No,,,Y,,Bar Area
,The Mitre Hampton Court Hotel,London ,,,Y,No extra large breeds,2,£30 per dog per night,Lower Deck of Resturant and Courtyard Bedrooms,Upper deck of restaurant and any bedroom types that are not courtyard,Yes,"Bed, treats and bowl",,Y,,Yes
,DoubleTree by Hilton Woking,Woking,,,N,,,,,,,,,,,
,The Grand Hotel Eastbourne,Eastbourne East Sussex,,,Y,N/A,2,£20 per dog per day,Room and walkways to rooms only,ANywhere else that is public,Yes,Bed and bowl and a meal from room service,,Y,,Room service only 
,Inverlochy Castle Hotel,"Torlundy, Fort William",,,Y,N/A,2,£20 per dog per day,Bedrooms Only,ANywhere else that is public,Yes in a crate,Bed and Bowl,Hotel on large Estate,Y,N/A,No
,BishopStrow,Wilshire,,,Y,2 large,2,£40 from April 2025,All areas other than stated ,"Garden Grill Restaurant. Cosy Rooms and Luxury Hot tub suite, Spa",Y,"Bed, bowls and woof box",30 acre estate and dog agility course,Y,N/A,Conseratory and lounge 
,Blossom Lodge Norfolk,Norfolk,,,Y,N/A,N/A,?,All aras,N/A,Y,Blankets and bowls,countryside walks and next to Norfolks largest dog park,Y,Y,N/A
HLLON583,DoubleTree by Hilton London - Tower of London,London,,,Y,35kg,2,£40 per stay,Rooms only,Breakfast area and public areas,N,Beds and bowls,Grenwich Park,Y,,No
,DoubleTree by Hilton Southampton,Southhampton,,,Y,34kg combined weight,2,£10 per pet per night (max £50 per stay),public areas & Bar,Food and beverage areas,N,N,,Y,,In Bar Area
YXNCLSEA,Seaham Hall ,Durham,,,Y,Medium Dogs,2,,"Dog Friendly Garden Room with hottub, longue, garden areas, lobby","Furniture, other room types and other public areas not listed (Dining Room, Spa) ",Y in a crate,Towels ,Beaches/ Clifftop & Hotel Grounds,Y,,Not specifically but potentially in the lobby or bar if requested
,Trigony Hall,"Dumfries and Galloway, Scotland",,,Y,Depends on room size and size of dog. Please call first ,2- but could be 3 if small breeds,£15 per night but every dog that stays get their 5th stay free,All areas,N/A,Y if in hotel,"Welcome Pack and Walk Map/ Washing facilities, beds and bowls ",Countryside- Hotel provide maps,Y,,Y- Dog menu at breakfast
,Leman Locke  London,London ,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Bermonds Locke London TowerBridge,London,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Turing Locke Cambridge,Cambridge,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Eden Locke Edinburgh,Edinburgh,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Kingsland Locke London,London,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Locke at Brocken Wharf,London ,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Buckle Street Studios by Locke,London,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Whitworth Locke,Manchester,,,Y,30kg and under,1,£40 per stay,Studio Apartment Hotel so in the studios ,Each hotel has a dedicated work space and pet oweners must call in advance to see where they are allowed and when ,,"lovely doggie treats,  a dog bandana and toy, plus a dog bowl and door hanger",,,,Studio Apartment Hotel so in the studios 
,Ashford International Hotel and Spa,Kent,,,Y,Small to medium,2,£25 per room per night ,"Rooms, Lounge & Terrace",All other areas,Yes if staying in the hotel,No,,Y,,Yes in the lounge or terrace
,"Belton Woods Hotel, Spa & Golf Resort",Grantham,,,Y,Small to medium,2,£25 per room per night ,"Claret Jug, Lounge Bar, Conservatory ",All other areas,Yes if staying in the hotel,Treats,,Y,,Yes in lounge area
,Cambridge belfry hotel & spa,Cambridge,,,Y,Small to medium,2,£25 per room per night ,Lounge,All other areas,Yes if staying in the hotel,No,,Y,,Yes in lounge area
,Chesford Grange Hotel,Kenilworth,,,Y,Small to medium,2,£25 per room per night ,Terrace Bar & Terrace,All other areas,Yes if staying in the hotel,"Beds, bowls and treats",,Y,,Yes in bar area
,Crewe Hall hotel and Spa,Crewe,,,Y,Small to medium,2,£25 per room per night ,Bar & Terrace,All other areas,Yes if staying in the hotel,"Beds, bowls and treats",,Y,,Yes in bar area
,"Glasgow Westerwood Hotel, Spa & Golf Resort",Glasgow,,,Y,Small to medium,2,£25 per room per night ,Lounge,All other areas,Yes if staying in the hotel,No,,Y,,Lounge 
,"Forest Pines Hotel, Spa and Golf Resort",Scunthorpe,,,Y,Small to medium,2,£25 per room per night ,"Lounge, bar and Pines Area",All other areas,Yes if staying in the hotel,Treats,,Y,,Yes in bar area
,Double Tree by Hilton The Stratford,Stratford upon Avon,,,Y,Small to medium,2,£25 per room per night ,Lounge Bar,All other areas,Yes if staying in the hotel,"Beds, bowls and treats",,Y,,Yes in lounge bar
,"Duston Hall Hotel, Spa and Golf Resort",Norwich,,,Y,Small to medium,2,£25 per room per night ,Terrace Bar & Terrace,All other areas,Yes if staying in the hotel,No,,Y,,Yes in Terrace
,Hampshire Court Hotel & Spa,Basingstoke,,,Y,Small to medium,2,£25 per room per night ,Lounge bar and courtyard,All other areas,Yes if staying in the hotel,No,,Y,,Yes in lounge bar
,norton park hotel spa & manor house,Winchester,,,Y,Small to medium,2,£25 per room per night ,"Interior Balcony, Reception and part of bar",All other areas,Yes if staying in the hotel,No,,Y,,Yes in part of bar if pre requested 
,"Oulton Hall Hotel, Spa & Golf Resort",Leeds,,,Y,Small to medium,2,£25 per room per night ,Great Hall and Terrace,All other areas,Yes if staying in the hotel,"Beds, bowls and treats",,Y,,In the great hall 
,Oxford Belfry Hotel & Spa,Thame Oxford ,,,Y,Small to medium,2,£25 per room per night ,Lounge Bar,All other areas,Yes if staying in the hotel,No,,Y,,Yes in bar area
,"Staley Hall Hotel, Spa and Golf Resort",Hexham Northumberland,,,Y,Small to medium,2,£25 per room per night ,"Lounges, Tommy Craig's Bar and Claret Jug",All other areas,Yes if staying in the hotel,No,,Y,,Yes in Lounge
,Stratford Manor Hotel,Stratford upon Avon,,,Y,Small to medium,2,£25 per room per night ,Lounge Bar,All other areas,Yes if staying in the hotel,"Beds, bowls and treats",,Y,,Yes in bar area
,The Telford Hotel and Spa,Telford Shropshire,,,Y,Small to medium,2,£25 per room per night ,"1779 Bar, Conference Lounge, Gorge Bar",All other areas,Yes if staying in the hotel,Treats,,Y,,Yes in bar area
QHXWN385,The Park Royal Hotel and Spa,Warrington,,,Y,Small to medium,2,£25 per room per night ,Bar & Terrace,All other areas,Yes if staying in the hotel,No,,Y,,Yes in bar area
,Rosewood London,Holborn London,,,Y,N/A,2,N/A,All areas but the spa and fitness. Please contact staff directly to find the dog friendly areas of the food and bervage outlets,Spa and fitness centre,No,Bed,St Jame's Park. The hotel also provide you with an Expawriences Guide with walks and things to do/see,Y- Lincoln Park,N/A,In Holborn Dining room or Mirror Room
,Galgorm Manor Hotel Belfast,Belfast,,,Y- Only in lodgings not hotel,2 large 3 small- email the hotel to evaluate if this doesn't meet your needs,2 large 3 small,£15 per dog per night,Lower section of McKendry's Bar,Main Resorta nd spas,In crate,No,,Y,No,Lower section of McKendry's Bar
